Misdemeanor Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,1075,1017,1440,1200,1292,1327,1581,1674,1678,1251,1078,1083,926,731,609,680,535,592
,CRIMINAL TRESPASS,68,54,57,89,109,99,117,94,105,95,83,110,93,90,82,40,50,48
,UNAUTHORIZED USE OF A VEHICLE           ,48,32,53,37,55,43,36,41,34,39,33,52,43,42,34,30,26,16
,OFFENSES AGAINST THE PERSON (7)      ,11,13,14,15,17,22,15,15,17,13,19,13,22,12,7,11,11,25
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),198,199,244,198,226,234,224,223,191,152,155,211,202,123,74,50,13,16
,ADMINISTRATIVE CODE (6)            ,22,15,21,15,11,12,8,17,12,9,13,10,10,2,6,3,6,2
,FRAUDS (3)                    ,234,260,135,119,118,120,90,107,102,111,96,106,68,68,68,71,72,85
,AGGRAVATED HARASSMENT 2               ,1043,937,983,861,963,935,981,870,943,874,795,722,706,562,485,416,353,189
,OTHER MISDEMEANORS (8),84,87,99,53,50,64,33,58,50,47,70,39,55,53,32,120,123,135
,TOTAL MISDEMEANOR OFFENSES,6540,6056,6865,5963,6322,6193,6671,6354,7044,5949,5709,5588,5560,4406,3353,2960,2795,2646
123,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,0,2,8,4,9,9,9,7,7,12,10,9,18,22,11,6,15,12
,MISDEMEANOR SEX CRIMES (4),19,17,20,19,19,22,24,14,10,13,14,8,13,12,13,15,19,17
,MISDEMEANOR DANGEROUS DRUGS  (1),89,111,163,131,100,63,70,84,160,151,141,168,190,316,300,282,299,203
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,13,21,13,10,13,22,32,21,26,23,13,26,21,28,27,28,33,25
,PETIT LARCENY                         ,444,427,443,436,460,456,586,479,571,508,550,550,433,473,453,362,348,395
,ASSAULT 3 AND RELATED OFFENSES        ,241,298,248,317,275,265,250,265,269,269,247,274,267,224,256,160,160,154
,INTOXICATED & IMPAIRED DRIVING              ,64,59,89,52,89,72,127,118,86,92,72,68,80,102,114,97,142,176
,VEHICLE AND TRAFFIC LAWS              ,168,136,68,49,33,22,19,37,20,19,24,18,16,14,15,19,12,20
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,576,625,658,660,567,531,603,578,638,482,529,516,399,247,299,339,285,257
,CRIMINAL TRESPASS,38,39,30,27,44,33,25,19,29,21,25,16,16,26,17,25,28,50
,UNAUTHORIZED USE OF A VEHICLE           ,5,8,23,26,21,34,26,11,15,25,29,22,19,17,19,20,6,5
,OFFENSES AGAINST THE PERSON (7)      ,6,9,8,18,12,5,12,4,7,12,13,6,6,8,9,9,13,9
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),99,78,76,84,76,88,110,77,95,108,84,90,99,105,88,86,70,72
,ADMINISTRATIVE CODE (6)            ,0,1,4,4,6,5,7,6,5,6,10,2,3,7,1,1,1,6
,FRAUDS (3)                    ,60,54,23,55,47,66,40,62,38,33,61,37,47,39,64,62,55,70
,AGGRAVATED HARASSMENT 2               ,409,489,451,432,438,399,486,454,465,420,424,377,383,311,182,160,151,106
,OTHER MISDEMEANORS (8),29,30,23,12,22,23,13,21,25,43,18,22,14,12,20,50,40,39
,TOTAL MISDEMEANOR OFFENSES,2260,2404,2348,2336,2231,2115,2439,2257,2466,2237,2264,2209,2024,1963,1888,1721,1677,1616
DOC,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,,,,,,,,,,,,,,,0,0,0,0
,MISDEMEANOR SEX CRIMES (4),,,,,,,,,,,,,,,4,11,25,15
,MISDEMEANOR DANGEROUS DRUGS  (1),,,,,,,,,,,,,,,3,0,0,0
,MISDEMEANOR DANGEROUS WEAPONS (5)               ,,,,,,,,,,,,,,,1,0,0,3
,PETIT LARCENY                         ,,,,,,,,,,,,,,,8,10,12,12
,ASSAULT 3 AND RELATED OFFENSES        ,,,,,,,,,,,,,,,4,9,3,1
,INTOXICATED & IMPAIRED DRIVING              ,,,,,,,,,,,,,,,0,0,0,0
,VEHICLE AND TRAFFIC LAWS              ,,,,,,,,,,,,,,,0,0,0,0
,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,,,,,,,,,,,,,,,19,2,9,4
,CRIMINAL TRESPASS,,,,,,,,,,,,,,,3,2,0,3
,UNAUTHORIZED USE OF A VEHICLE           ,,,,,,,,,,,,,,,0,0,0,0
,OFFENSES AGAINST THE PERSON (7)      ,,,,,,,,,,,,,,,0,1,0,0
,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),,,,,,,,,,,,,,,491,512,758,548
,ADMINISTRATIVE CODE (6)            ,,,,,,,,,,,,,,,0,0,0,0
,FRAUDS (3)                    ,,,,,,,,,,,,,,,0,1,1,1
,AGGRAVATED HARASSMENT 2               ,,,,,,,,,,,,,,,3,1,0,5
,OTHER MISDEMEANORS (8),,,,,,,,,,,,,,,12,8,6,3
,TOTAL MISDEMEANOR OFFENSES,,,,,,,,,,,,,,,548,557,814,595
,,,,,,,,,,,,,,,,,,,
 CRIME CATEGORY NOTES,,,,,,,,,,,,,,,,,,,
"(1) Total of all top charge Misdemeanor Dangerous Drugs arrests made by all arresting agencies.  Contains Criminal Possession of Controlled Substance, Criminally Possessing a Hypodermic",,,,,,,,,,,,,,,,,,,
"     Instrument, Criminally using Drug Paraphernalia, Criminal Possession of Methamphetamine Manufacturing Material, Criminal Possession of Marijuana, Criminal Sale of Marijuana ",,,,,,,,,,,,,,,,,,,
"(2) Contains Bail Jumping, Perjury, Criminal Contempt, Resisting Arrest, Absconding From Work Release, and Obstructing Governmental Administration",,,,,,,,,,,,,,,,,,,
(3) Contains primarily Criminal Impersonation and Identity Theft offenses,,,,,,,,,,,,,,,,,,,
"(4) Contains Sexual Abuse, Sexual Misconduct, Forcible Touching, Endangering the Welfare of a Child, and Obscenity",,,,,,,,,,,,,,,,,,,
"(5) Contains Criminal Possession of Weapon, Criminal Purchase of Weapon, Prohibited Use of Weapons, and Manufacture Transport Disposition and Defacement of Weapons",,,,,,,,,,,,,,,,,,,
(6) Contains primarily unclassified offenses in the Administrative Code such as Graffiti violations and cigarettes without a tax stamp,,,,,,,,,,,,,,,,,,,
"(7) Contains primarily Reckless Endangerment 2, Custodial Inference 2, and Unlawful Imprisonment 2",,,,,,,,,,,,,,,,,,,
"(8) Contains primarily Prostitution, Gambling, Larceny of Auto, Public Lewdness, and other State Laws (Tax Law, ABC, etc.)",,,,,,,,,,,,,,,,,,,
Green highlights represent categories where a substantial portion of the complaint counts are generated as a result of the implementation,,,,,,,,,,,,,,,,,,,
of pro-active policing strategies,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
STATISTICAL NOTES,,,,,,,,,,,,,,,,,,,
1. 2000-2005 Data Source-Historical Comfinal data including Complaint Follow-Up data.  Compiled from aggregated monthly tapes 2000 thru 2005.,,,,,,,,,,,,,,,,,,,
2. 2006-2016 Data Source-CDW Omniform System and S-DD5 System (Complaint Follow Up) data by record create date.  ,,,,,,,,,,,,,,,,,,,
3. 2000-2009 data as of 12/8/2010.  2010 data as of 1/18/2011. 2011 data as of 1/18/2012. 2012 data as of 4/1/2013. 2013 data as of 1/17/2014. 2014 data as of 1/16/2015. 2015 data as of 1/18/2016. 2016 data as of 1/16/2017. 2017 data as of 1/17/2018.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
"4. On Sept. 28, 2012, there was a re-alignment of the boundaries of the 077, 078, and 088 precincts.  Therefore statistics for the 077, 078, and 088 precincts following 2011 are not comparable to earlier years.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
5. The 121 pct was created on 7-1-2013 from parts of the 120 and 122 precinct.  Therefore statistics for 120 and 122 precincts following 2012 are not comparable to earlier years.,,,,,,,,,,,,,,,,,,,
"6. As of 1-1-2014 complaints occurring within the jurisdiction of the Department of Correction have been disaggregated from the precinct crime totals and are denoted in ""Pct"" column as ""DOC"".",,,,,,,,,,,,,,,,,,,
